k_yomiyasusa,k_seizensa,k_chikarazuyosa,k_akarusa,k_dokujisei,k_jidaisei,k_atatakasa,g_yomiyasusa,g_seizensa,g_chikarazuyosa,g_akarusa,g_dokujisei,g_jidaisei,g_atatakasa,s_yomiyasusa,s_seizensa,s_chikarazuyosa,s_akarusa,s_dokujisei,s_jidaisei,s_atatakasa,suki
29,81,86,21,63,9,23,6,59,40,22,79,23,41,0,69,2,28,89,19,39,kaisho
100,93,84,78,7,71,51,41,46,59,55,94,0,76,20,17,33,74,100,1,67,kaisho
87,79,74,85,100,73,86,18,29,68,35,62,26,67,6,19,76,67,73,63,40,kaisho
69,62,100,65,12,20,75,22,72,20,29,74,21,22,0,0,0,71,100,96,0,gyosho
0,100,100,33,100,0,0,100,100,100,0,100,0,71,0,0,0,100,100,0,100,gyosho
20,31,70,71,8,11,22,30,92,10,75,81,81,71,0,67,31,19,93,12,71,gyosho
46,42,44,54,41,40,37,58,44,44,42,56,66,64,54,40,57,41,59,45,57,kaisho
32,73,72,75,13,64,30,26,65,78,73,71,24,68,8,25,65,69,80,12,83,sousho
100,66,83,80,47,71,83,60,69,69,72,73,28,69,29,72,66,69,82,10,79,gyosho
0,100,100,100,100,22,100,0,0,100,100,100,0,100,0,0,0,100,100,0,0,kaisho
56,80,25,69,30,70,31,0,80,20,12,100,0,0,0,36,42,1,100,0,37,kaisho
21,50,75,81,37,17,72,0,16,15,23,81,0,37,0,0,0,0,100,0,27,kaisho
100,100,100,100,57,47,100,100,100,100,100,100,69,100,0,67,2,62,100,33,83,kaisho
66,100,19,31,16,77,74,66,100,86,85,74,37,85,0,34,0,74,100,13,33,gyosho
78,71,71,88,18,92,55,41,78,41,60,65,26,67,1,65,0,68,100,13,28,gyosho
89,18,63,35,62,48,64,39,38,24,63,70,5,59,0,62,35,52,100,0,78,gyosho
80,100,49,57,30,100,37,36,80,71,50,77,24,83,10,71,17,49,68,4,94,kaisho
100,93,100,52,35,32,45,31,66,43,62,59,38,44,3,67,26,57,88,19,31,kaisho
89,90,91,92,72,59,55,43,89,19,86,100,11,56,0,78,0,53,98,1,38,kaisho
87,66,40,60,16,41,56,69,60,63,63,37,46,54,26,83,69,67,26,46,55,sousho
84,89,59,76,0,37,61,44,88,73,78,76,0,18,5,72,19,74,96,0,31,sousho
55,43,67,50,54,26,54,46,43,43,54,61,54,48,5,45,21,59,100,85,63,sousho
100,100,100,78,65,45,88,19,50,67,60,100,37,54,2,40,99,55,98,1,8,kaisho
76,99,90,50,49,78,78,80,81,70,51,89,2,51,2,50,0,51,100,1,79,gyosho
76,56,88,63,77,64,84,64,60,88,70,95,75,72,43,79,43,68,74,10,67,gyosho
74,74,100,66,45,45,100,69,100,100,58,30,45,100,12,55,45,31,97,33,77,kaisho
71,74,72,63,42,36,38,38,69,66,72,79,20,76,19,81,22,78,79,17,23,gyosho
46,38,79,50,37,0,26,35,39,46,49,70,7,66,1,13,13,57,76,2,49,gyosho
100,80,59,63,40,51,60,29,29,31,37,69,0,63,0,47,0,20,100,0,27,kaisho
